	background	ME23	ME25	ME12	ME21	ME31	ME47	ME13	ME39	ME27	ME5	ME10	ME40	ME7	ME33	ME4	ME11	ME49	ME6	ME15	ME44	ME14	ME19	ME55	ME57	ME1	ME16	ME24	ME51	ME34	ME54	ME3	ME50	ME17	ME9	ME26	ME22	ME20	ME45	ME36	ME53	ME58	ME18	ME30	ME35	ME37	ME8	ME59	ME43	ME38	ME56	ME46	ME28	ME2	ME41	ME48	ME29	ME52	ME32	ME42	ME0
56	410447	NA	NA	NA	413409	412309	NA	409046	725037	726969	727254	413691	725686	408968	551753	100577546	100577520	NA	NA	413711	NA	552299	NA	NA	NA	724924	411890	NA	NA	551691	NA	NA	NA	409686	NA	NA	100577371	NA	NA	411611	NA	NA	409329	NA	NA	725502	NA	NA	410824	413679	NA	NA	NA	413125	NA	NA	408552	NA	100577498	100576816	725455
57	410448	724264	413365	NA	NA	725645	NA	100576413	NA	NA	NA	413439	NA	551135	413657	552431	412154	NA	408892	413319	100577408	NA	410257	NA	NA	409781	NA	NA	NA	724851	NA	724292	NA	NA	552215	411195	NA	NA	NA	552847	NA	NA	551211	411364	NA	413755	NA	NA	100576949	726724	NA	726864	408835	NA	727130	NA	NA	NA	410237	NA	550785
58	726040	408415	411069	410998	551510	NA	NA	NA	NA	724809	411495	100577958	100576082	409219	724738	NA	552695	NA	NA	411758	NA	100577295	410263	NA	NA	411023	NA	410054	NA	726068	NA	NA	NA	NA	NA	408909	100576947	NA	NA	100576514	NA	NA	725813	NA	726441	NA	NA	NA	552391	408989	NA	NA	NA	NA	NA	NA	NA	NA	410228	NA	NA
59	NA	410434	409498	726335	551225	552367	NA	NA	724732	552765	100576374	551778	412035	412150	551269	411856	409978	NA	NA	726074	726529	411829	413916	NA	NA	408801	NA	NA	NA	NA	NA	100577813	NA	NA	408831	550955	726970	412167	100576383	NA	NA	NA	409528	726028	NA	550691	NA	NA	410828	726079	NA	NA	NA	NA	NA	NA	408732	NA	726149	NA	100576291
60	NA	410102	726857	NA	410015	725088	NA	412750	NA	NA	411353	NA	100578170	NA	551302	726314	727300	NA	NA	NA	408750	100577941	551061	NA	NA	NA	409333	NA	NA	NA	NA	NA	NA	NA	411083	411626	552301	NA	NA	552307	NA	NA	724480	NA	412401	408987	725130	NA	727110	NA	NA	NA	NA	NA	410823	NA	408504	NA	NA	100577769	411600
61	NA	NA	552597	409142	100578984	NA	NA	727221	725611	551474	NA	411231	725801	411280	412935	NA	413933	NA	727631	409058	NA	410056	NA	NA	NA	NA	100578430	409410	NA	725327	NA	NA	NA	NA	NA	724499	NA	NA	NA	NA	NA	NA	409450	552021	724443	412885	NA	NA	NA	NA	NA	NA	551826	NA	100576290	NA	412865	NA	410370	551290	NA
62	NA	NA	411193	408787	725401	726548	NA	100576717	551240	726343	552516	NA	725935	410004	411724	NA	727293	NA	100577387	552511	NA	550822	552455	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	100578547	NA	NA	413205	100578239	NA	NA	NA	NA	552272	NA	NA	NA	NA	NA	NA	410517	NA	NA	NA	NA	411494	NA	408973	NA	NA	NA	410749
63	NA	724141	NA	NA	NA	NA	NA	411734	100579057	100576529	413652	411837	NA	406098	NA	NA	412010	NA	727294	NA	NA	727222	410136	NA	NA	NA	410258	NA	NA	100577980	NA	NA	NA	551987	NA	NA	NA	NA	NA	NA	NA	NA	412366	NA	552721	NA	NA	NA	NA	411253	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	552038
64	408426	NA	550685	411201	NA	725119	NA	724658	552488	NA	551184	413181	NA	410030	551012	551696	NA	NA	727327	726225	NA	409393	413512	NA	NA	100578826	409260	NA	NA	100576882	NA	408824	NA	410154	100577997	724300	NA	724735	NA	NA	NA	NA	550700	726459	552592	NA	724660	NA	NA	NA	NA	NA	NA	NA	NA	NA	413481	NA	NA	NA	412287
65	NA	NA	412302	NA	410649	NA	NA	725707	725589	726615	NA	725025	NA	725362	100578661	100576975	NA	NA	408503	NA	NA	408319	552291	NA	NA	412391	408368	551005	NA	NA	NA	NA	NA	725051	NA	724909	100577161	NA	NA	NA	NA	NA	NA	409667	408774	NA	NA	NA	NA	100576135	NA	NA	100577656	NA	NA	NA	410867	NA	NA	NA	552316
