"","ID","GeneID","GenbankID","OtherID"
"17450","rna17449","724358"," Genbank:XM_006561837.3","GB42884"
"17451","rna17450","724358"," Genbank:XM_026442829.1","GB42884"
"17452","rna17451","724358"," Genbank:XM_006561835.3","GB42884"
"17453","rna17452","724358"," Genbank:XM_016914181.2","GB42884"
"17454","rna17453","411321"," Genbank:XM_006561556.3","GB42885"
"17455","rna17454","411321"," Genbank:XM_006561555.3","GB42885"
"17456","rna17455","411321"," Genbank:XM_016913840.2","GB42885"
"17457","rna17456","411321"," Genbank:NM_001145737.1","GB42885"
"17458","rna17457","100578400"," Genbank:XM_026442780.1","GB42602"
"17459","rna17458","551922"," Genbank:XM_624307.6","GB42887"
"17460","rna17459","411320"," Genbank:XM_016914183.2","GB42600"
"17461","rna17460","411320"," Genbank:XM_394795.6","GB42600"
"17462","rna17461","724521"," Genbank:XM_026442787.1","GB42888"
"17463","rna17462","724616"," Genbank:XM_016914179.2","GB42889"
"17464","rna17463","724616"," Genbank:XM_001120510.5","GB42889"
"17465","rna17464","724664"," Genbank:XM_001120555.5","GB42599"
"17466","rna17465","724664"," Genbank:XM_006561846.3","GB42599"
"17467","rna17466","100578860"," Genbank:XM_003249925.4","GB42890"
"17468","rna17467","100578625"," Genbank:XM_003249896.4","GB42598"
"17469","rna17468","409002"," Genbank:NM_001174140.1","GB42597"
"17470","rna17469","411317"," Genbank:NM_001242998.1","GB42596"
"17471","rna17470","100642173"," Genbank:NM_001242999.1)",""
"17472","rna17471","100578664"," Genbank:XM_016914024.2","GB42594"
"17473","rna17472","100578664"," Genbank:XM_016914023.2","GB42594"
"17474","rna17473","102655319"," Genbank:XM_026442836.1)",""
"17475","rna17474","100578699"," Genbank:XM_003249898.4","GB42892"
"17476","rna17475","411316"," Genbank:XM_016914026.2","GB42593"
"17477","rna17476","411316"," Genbank:XM_006561855.3","GB42593"
"17478","rna17477","411316"," Genbank:XM_026442639.1","GB42593"
"17479","rna17478","411316"," Genbank:XM_016914027.2","GB42593"
"17480","rna17479","409001"," Genbank:XM_006561851.3","GB42894"
"17481","rna17480","409001"," Genbank:XM_006561852.3","GB42894"
"17482","rna17481","409001"," Genbank:XM_006561850.3","GB42894"
"17483","rna17482","409001"," Genbank:XM_006561849.3","GB42894"
"17484","rna17483","102656114"," Genbank:XR_003305280.1)",""
"17485","rna17484","411315"," Genbank:XM_006561856.3","GB42592"
"17486","rna17485","411315"," Genbank:XM_394790.7","GB42592"
"17487","rna17486","411315"," Genbank:XM_016914175.2","GB42592"
"17488","rna17487","411315"," Genbank:XM_016914176.2","GB42592"
"17489","rna17488","100629002"," Genbank:NR_039444.1"," miRBase:MI0016152)"
