""	X8754AD	X875cAD	X875gAD	X8820AD	X882cAD	X882pAD	X888aAD	X888hAD	X888jAD	X894bAD	X894qAD	X894rAD	X8754AQ	X875cAQ	X875gAQ	X8820AQ	X882cAQ	X882pAQ	X888aAQ	X888hAQ	X888jAQ	X894bAQ	X894qAQ	X894rAQ
GB47970	87	60	339	356	300	239	302	383	276	145	131	86	64	57	277	356	300	239	301	382	276	145	131	86
GB47971	7	8	5	8	12	14	8	11	14	25	20	21	0	0	0	9	12	14	8	11	14	25	20	21
GB47972	5	7	4	4	0	7	2	5	0	10	19	12	0	4	4	4	0	8	4	6	0	10	19	12
GB47975	14	25	13	3	5	12	34	36	44	1	0	0	14	25	13	3	0	11	24	50	20	1	0	0
GB47976	28	12	55	20	7	35	44	35	20	21	10	26	19	11	52	17	10	20	42	30	17	21	9	15
GB47977	41856	2758	64317	15399	13415	46151	18741	25850	19474	54497	38224	54471	37675	2598	54178	14652	12248	45779	17912	24903	18607	50574	34252	39532
GB47979	0	0	0	3	2	0	4	2	4	3	2	1	1	0	2	3	5	0	3	3	8	3	2	1
GB47986	2	4	0	0	0	0	3	0	0	1	1	3	0	0	0	0	0	0	2	0	0	0	0	0
GB47990	162	39	471	189	270	909	399	289	260	360	228	288	162	39	471	189	270	911	401	288	260	331	207	358
GB47994	0	0	0	0	0	1	0	0	2	0	2	2	0	0	0	0	0	0	0	0	1	0	2	3
GB48002	40	17	44	23	19	27	29	57	27	24	36	28	37	14	42	23	19	27	28	56	27	24	36	28
GB48003	258	2	560	57	33	268	191	224	109	268	110	210	198	1	489	66	31	253	184	224	108	267	110	210
GB48005	25	24	76	32	42	30	88	114	48	22	20	22	27	24	76	652	639	31	86	113	46	11	18	28
GB48007	245	36	1505	181	121	857	391	400	214	832	568	723	243	49	1515	181	121	893	391	394	214	831	538	652
GB48020	2163	104	6967	1042	101	4244	1250	1077	654	1984	2070	1058	2594	899	8367	4105	114	14186	4969	2667	4315	9534	7450	2778
GB48022	1434	3408	8262	1424	2600	7603	2933	2296	878	3159	3867	2231	1434	3408	8263	1424	2600	7604	2684	2412	620	1573	1839	1440
GB48024	51	33	65	20	19	29	27	35	35	50	28	48	51	33	65	20	19	29	26	35	35	50	28	48
GB48025	95	160	226	59	57	103	48	105	30	249	137	184	99	152	197	58	11	116	52	103	27	246	135	196
GB48026	475	393	703	193	201	428	217	243	164	574	457	567	447	391	711	275	193	484	211	252	166	554	450	544
GB48027	118	97	135	78	66	84	117	90	44	138	106	192	117	96	135	78	66	84	117	90	42	138	105	195
GB48028	199	361	499	312	279	866	323	375	176	469	259	294	195	346	478	298	273	846	236	259	107	356	254	212
GB48031	8	13	5	3	0	9	5	20	10	5	4	2	8	13	5	3	0	8	5	20	10	5	4	2
GB48032	8	13	15	3	0	5	6	4	6	8	3	8	8	13	15	3	0	5	6	4	7	8	4	11
GB48034	237	38	423	186	121	322	461	650	266	158	107	162	237	40	427	185	122	318	461	651	264	157	108	165
GB48036	0	0	1	0	0	0	0	0	2	0	0	4	0	0	1	0	0	0	0	0	2	0	0	1
GB48052	1928	662	2580	492	451	1646	942	1280	654	872	558	604	1965	668	2788	457	423	915	685	952	460	485	462	524
GB48055	67	13	82	36	39	344	124	42	19	326	115	468	61	15	104	41	31	236	101	47	17	231	107	457
